timestamp_utc,load_mw,load_missing_flag,wind_onshore_mw,wind_missing_flag_raw,wind_missing_flag_postfill,hour_of_day,day_of_week,month,day_of_year,sin_hour,cos_hour,sin_dow,cos_dow,sin_month,cos_month,load_lag_1,load_lag_24,load_lag_48,load_lag_168,load_rollmean_24,load_rollstd_24,target_available_for_training
2024-01-01 00:00:00+00:00,3437.865,0,2245.5200000000004,0,0,0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,1
2024-01-01 01:00:00+00:00,3295.3450000000003,0,2084.085,0,0,1,0,1,1,0.25881904510252074,0.9659258262890683,0.0,1.0,0.0,1.0,3437.865,,,,,,1
2024-01-01 02:00:00+00:00,3165.5550000000003,0,1830.875,0,0,2,0,1,1,0.49999999999999994,0.8660254037844387,0.0,1.0,0.0,1.0,3295.3450000000003,,,,,,1
2024-01-01 03:00:00+00:00,3050.325,0,1514.15,0,0,3,0,1,1,0.7071067811865476,0.7071067811865476,0.0,1.0,0.0,1.0,3165.5550000000003,,,,,,1
2024-01-01 04:00:00+00:00,2941.29,0,1294.495,0,0,4,0,1,1,0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,1.0,3050.325,,,,,,1
2024-01-01 05:00:00+00:00,2917.4,0,1139.925,0,0,5,0,1,1,0.9659258262890683,0.25881904510252074,0.0,1.0,0.0,1.0,2941.29,,,,,,1
2024-01-01 06:00:00+00:00,2981.4,0,1016.105,0,0,6,0,1,1,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,2917.4,,,,,,1
2024-01-01 07:00:00+00:00,3076.58,0,794.05,0,0,7,0,1,1,0.9659258262890683,-0.25881904510252063,0.0,1.0,0.0,1.0,2981.4,,,,,,1
2024-01-01 08:00:00+00:00,3133.66,0,756.4200000000001,0,0,8,0,1,1,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.0,1.0,3076.58,,,,,,1
2024-01-01 09:00:00+00:00,3267.395,0,1085.225,0,0,9,0,1,1,0.7071067811865476,-0.7071067811865475,0.0,1.0,0.0,1.0,3133.66,,,,,,1
2024-01-01 10:00:00+00:00,3512.445,0,1409.33,0,0,10,0,1,1,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.0,1.0,3267.395,,,,,,1
2024-01-01 11:00:00+00:00,3738.85,0,1765.4250000000002,0,0,11,0,1,1,0.258819045102521,-0.9659258262890682,0.0,1.0,0.0,1.0,3512.445,,,,,,1
2024-01-01 12:00:00+00:00,3983.305,0,2103.0950000000003,0,0,12,0,1,1,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,1.0,3738.85,,,,,,1
2024-01-01 13:00:00+00:00,4135.25,0,2213.755,0,0,13,0,1,1,-0.2588190451025208,-0.9659258262890683,0.0,1.0,0.0,1.0,3983.305,,,,,,1
